rot_x,rot_y,rot_z,rot_w,running_mean_x,running_mean_y,running_mean_z,running_mean_w
-0.272266,-0.684888,-0.675869,-0.408587,0.098016,0.008461,-0.133051,-0.089681
0.847670,-0.368493,-0.381665,0.893811,0.108428,0.003225,-0.136504,-0.076021
0.133038,-0.669096,-0.731171,0.353918,0.108765,-0.005985,-0.144650,-0.070132
-0.159455,-0.646984,0.745644,0.577271,0.105140,-0.014647,-0.132619,-0.061383
-0.089328,-0.995196,0.040073,0.210717,0.102547,-0.027721,-0.130317,-0.057755
0.647989,0.506381,-0.568937,-0.881675,0.109724,-0.020693,-0.136088,-0.068596
0.973553,-0.150623,0.171776,-0.486501,0.120943,-0.022381,-0.132090,-0.074024
0.822545,-0.516587,-0.237820,-0.723321,0.129938,-0.028717,-0.133445,-0.082348
0.191604,-0.665493,-0.721393,0.490660,0.130718,-0.036777,-0.140888,-0.075095
0.193661,0.259807,-0.946042,0.149162,0.131505,-0.033070,-0.150952,-0.072291
-0.415047,0.418298,0.807937,-0.530005,0.124758,-0.027497,-0.139114,-0.077942
-0.308421,0.908757,-0.281134,-0.561795,0.119475,-0.016080,-0.140846,-0.083843
-0.064804,0.949197,-0.307936,-0.683710,0.117255,-0.004450,-0.142859,-0.091070
0.977412,-0.023217,-0.210064,-0.379372,0.127495,-0.004673,-0.143659,-0.094502
0.297529,-0.331991,-0.895131,-0.322584,0.129495,-0.008524,-0.152500,-0.097186
0.859924,0.288059,-0.421369,-0.095004,0.137988,-0.005075,-0.155626,-0.097160
0.672411,0.417947,0.610888,-0.409546,0.144131,-0.000213,-0.146816,-0.100751
0.179188,0.592241,-0.785584,-0.412235,0.144530,0.006519,-0.154075,-0.104290
0.236515,-0.674022,0.699825,0.762526,0.145563,-0.001127,-0.144480,-0.094551
-0.309028,-0.946361,0.094352,-0.187763,0.140512,-0.011630,-0.141827,-0.095587
0.175415,-0.428612,0.886297,-0.748753,0.140896,-0.016212,-0.130529,-0.102764
0.646624,-0.483825,0.589738,0.528207,0.146393,-0.021295,-0.122700,-0.095906
0.995617,0.050769,-0.078547,0.922156,0.155524,-0.020520,-0.122225,-0.084959
-0.335311,-0.810546,0.480190,-0.452051,0.150302,-0.028924,-0.115816,-0.088864
-0.491340,0.853338,0.174354,-0.160606,0.143548,-0.019637,-0.112762,-0.089619
