rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
0.967537,0.192527,0.163726,0.049600,-0.076141,0.119658
-0.701910,0.310454,0.641047,0.042009,-0.072236,0.124925
0.099522,0.338582,0.935659,0.042585,-0.068127,0.133032
0.699808,-0.174169,0.692773,0.049092,-0.069177,0.138574
-0.927578,0.203633,-0.313260,0.039516,-0.066503,0.134144
-0.405787,0.650188,0.642334,0.035193,-0.059545,0.139078
0.292608,-0.953781,0.068422,0.037668,-0.068143,0.138399
0.430362,0.153822,0.889454,0.041408,-0.066029,0.145552
-0.323740,0.900443,0.290508,0.037963,-0.056911,0.146919
-0.939016,0.098644,-0.329420,0.028833,-0.055458,0.142467
0.536801,-0.839220,0.086917,0.033536,-0.062715,0.141953
-0.498766,-0.411088,-0.763046,0.028653,-0.065911,0.133650
0.293207,0.726922,0.620978,0.031058,-0.058703,0.138081
0.871530,-0.483179,0.083513,0.038630,-0.062527,0.137589
-0.231368,0.643090,-0.730003,0.036219,-0.056227,0.129843
-0.241431,-0.968503,0.060941,0.033762,-0.064300,0.129233
-0.326926,0.934960,-0.137731,0.030598,-0.055535,0.126891
-0.159497,-0.867611,0.470968,0.028945,-0.062596,0.129883
0.272809,0.833419,0.480612,0.031047,-0.054872,0.132907
0.715450,-0.082247,-0.693806,0.036897,-0.055106,0.125841
-0.783189,-0.620333,0.042450,0.029947,-0.059896,0.125134
0.315023,0.293930,-0.902422,0.032342,-0.056923,0.116499
-0.231700,0.776694,0.585714,0.030142,-0.049976,0.120409
0.849309,-0.140591,-0.508831,0.036912,-0.050725,0.115209
-0.210019,0.506178,0.836466,0.034888,-0.046160,0.121121
-0.206702,-0.102763,0.972992,0.032924,-0.046620,0.128047
0.958165,0.018747,0.285601,0.040386,-0.046093,0.129317
-0.750746,-0.162795,0.640217,0.034056,-0.047027,0.133404
-0.846282,-0.532633,-0.010391,0.027070,-0.050881,0.132263
0.837575,-0.116910,0.533667,0.033452,-0.051401,0.135424
-0.981726,-0.174427,0.076086,0.025521,-0.052362,0.134960
-0.872602,-0.356087,-0.334317,0.018558,-0.054716,0.131322
