rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
-0.767777,-0.605893,0.208355,0.044051,-0.053507,0.124524
-0.665737,-0.043233,0.744933,0.036881,-0.053403,0.130790
0.299304,-0.629014,0.717467,0.039506,-0.059159,0.136657
-0.463314,0.129927,0.876618,0.034527,-0.057287,0.143983
-0.875255,0.470598,0.111656,0.025608,-0.052112,0.143666
0.676806,-0.610609,0.411205,0.031930,-0.057534,0.146264
-0.910930,0.390217,-0.133932,0.022864,-0.053229,0.143570
-0.689359,0.054403,-0.722374,0.016081,-0.052204,0.135323
-0.107985,0.353870,-0.929040,0.014911,-0.048373,0.125281
0.994391,0.015146,-0.104676,0.024065,-0.047779,0.123132
-0.813110,-0.541593,-0.213374,0.016313,-0.052351,0.120017
0.321047,-0.704893,0.632499,0.019109,-0.058338,0.124718
-0.805799,0.540241,-0.242547,0.011610,-0.052896,0.121379
-0.661861,-0.746534,0.068024,0.005542,-0.059145,0.120899
-0.462691,0.607297,0.645838,0.001362,-0.053195,0.125586
-0.525646,0.070431,0.847783,-0.003302,-0.052101,0.131977
0.992711,-0.098654,0.069225,0.005435,-0.052509,0.131426
-0.803058,0.483823,-0.347870,-0.001596,-0.047846,0.127259
0.575777,0.220478,0.787318,0.003382,-0.045532,0.132949
-0.231502,0.619532,-0.750058,0.001374,-0.039848,0.125402
0.373726,-0.054531,-0.925935,0.004530,-0.039973,0.116492
0.592445,0.220519,-0.774842,0.009470,-0.037784,0.109002
0.755669,-0.495480,-0.428326,0.015689,-0.041598,0.104524
-0.718605,-0.584129,0.377360,0.009620,-0.046081,0.106779
-0.047199,-0.700022,-0.712560,0.009154,-0.051442,0.100063
0.499289,0.359879,-0.788160,0.013139,-0.048097,0.092842
-0.453161,-0.514651,-0.727859,0.009379,-0.051860,0.086223
-0.643771,0.237241,-0.727513,0.004153,-0.049547,0.079713
0.098858,-0.981892,-0.161599,0.004905,-0.056947,0.077798
-0.259133,0.895572,0.361664,0.002826,-0.049447,0.080033
-0.208311,0.974634,-0.081826,0.001176,-0.041446,0.078769
-0.845982,0.155934,0.509901,-0.005391,-0.039916,0.082111
0.838366,-0.418432,0.349366,0.001100,-0.042828,0.084167
-0.744366,-0.508970,-0.432284,-0.004591,-0.046386,0.080224
0.420555,-0.301054,0.855862,-0.001370,-0.048315,0.086100
0.589314,0.150488,-0.793765,0.003071,-0.046820,0.079485
-0.510579,-0.656141,0.555687,-0.000762,-0.051368,0.083039
0.728568,-0.638922,0.246915,0.004640,-0.055720,0.084252
0.005467,-0.666001,0.745930,0.004647,-0.060207,0.089118
0.740029,0.327379,-0.587520,0.010014,-0.057378,0.084179
-0.112874,0.631987,0.766715,0.009124,-0.052383,0.089125
-0.530776,0.056013,0.845659,0.005240,-0.051603,0.094567
0.567376,-0.630676,0.529464,0.009255,-0.055739,0.097674
0.178847,-0.208654,0.961497,0.010458,-0.056824,0.103800
0.049269,0.128665,0.990464,0.010731,-0.055517,0.110044
0.082295,0.448363,0.890055,0.011231,-0.051994,0.115499
0.944314,0.326489,0.040940,0.017711,-0.049365,0.114981
0.040759,-0.988389,0.146374,0.017870,-0.055841,0.115198
0.570377,0.800347,0.184701,0.021654,-0.049977,0.115674
-0.162152,-0.399649,0.902212,0.020404,-0.052356,0.121024
0.634371,-0.133527,-0.761409,0.024552,-0.052904,0.115062
0.870363,-0.458553,0.179435,0.030229,-0.055627,0.115494
-0.857833,-0.433923,-0.275379,0.024309,-0.058149,0.112888
-0.455675,0.423256,-0.783080,0.021130,-0.054961,0.106955
-0.870265,-0.330251,0.365477,0.015266,-0.056772,0.108655
-0.441215,-0.630830,-0.638266,0.012282,-0.060524,0.103774
-0.086586,0.546941,-0.832681,0.011640,-0.056579,0.097693
-0.652870,0.491604,-0.576269,0.007353,-0.053043,0.093345
-0.986551,-0.146009,0.073480,0.000982,-0.053638,0.093217
-0.237265,0.849588,-0.471069,-0.000536,-0.047885,0.089623
0.085063,-0.653314,0.752293,0.000006,-0.051717,0.093817
0.314444,0.781875,-0.538327,0.001984,-0.046475,0.089841
-0.489224,0.733224,0.472273,-0.001087,-0.041601,0.092232
0.162511,-0.960684,0.225116,-0.000070,-0.047310,0.093057
0.002007,-0.957755,0.287578,-0.000058,-0.052930,0.094258
0.969315,-0.210742,0.126556,0.005889,-0.053898,0.094456
-0.130541,-0.980863,-0.144456,0.005058,-0.059550,0.092999
0.354038,-0.806390,-0.473700,0.007173,-0.064077,0.089565
-0.123270,-0.822367,-0.555443,0.006387,-0.068645,0.085679
-0.964151,0.090167,-0.249567,0.000575,-0.067694,0.083671
-0.895901,-0.315049,0.313219,-0.004761,-0.069166,0.085038
0.795028,0.111848,-0.596172,-0.000028,-0.068095,0.081007
0.918186,-0.302514,0.255772,0.005373,-0.069474,0.082035
-0.620697,0.662869,-0.418735,0.001712,-0.065191,0.079107
0.933366,0.357213,-0.035012,0.007128,-0.062735,0.078443
-0.443800,-0.373558,0.814552,0.004522,-0.064532,0.082698
-0.202799,-0.234566,0.950711,0.003330,-0.065509,0.087687
-0.951951,-0.119312,0.282053,-0.002129,-0.065817,0.088797
-0.287491,0.932804,-0.217314,-0.003750,-0.060143,0.087058
0.532819,0.280223,-0.798485,-0.000719,-0.058220,0.082055
-0.702245,-0.289308,0.650502,-0.004660,-0.059518,0.085248
-0.110017,0.192425,-0.975125,-0.005248,-0.058111,0.079325
0.165216,0.792569,0.586974,-0.004301,-0.053385,0.082145
0.678741,0.733824,0.028515,-0.000528,-0.049035,0.081849
