iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,success_rate
39,-0.149311,0.575729,-0.803892,0.453681,0.026094,0.433321,-0.002060,0.450390,2.757827,0.933810,1.824548,0.709486,-0.007740,0.936080,0.875000
40,-0.596257,0.388515,-0.702520,0.339610,0.010535,0.432201,-0.019572,0.447621,-2.966909,0.778932,2.564100,0.617576,0.011927,0.976780,0.875000
41,-0.888650,0.092959,-0.449066,0.215853,-0.011396,0.423927,-0.030047,0.441968,-2.743025,0.465719,3.037364,0.535610,0.022995,1.027038,0.888889
42,-0.958533,-0.253275,-0.130638,0.089591,-0.033947,0.407803,-0.032442,0.433578,-2.733876,0.131013,-2.883264,0.457765,0.025567,0.933936,0.888889
43,-0.802117,-0.577454,0.152166,-0.031135,-0.051812,0.384890,-0.028149,0.422770,-2.873929,-0.152759,-2.517627,0.380284,0.021420,0.853667,0.888889
44,-0.477243,-0.819234,0.317954,-0.139835,-0.061481,0.357524,-0.020283,0.409984,3.140863,-0.323571,-2.098284,0.443024,0.013579,0.786577,0.888889
45,-0.083970,-0.942952,0.322166,-0.230058,-0.061980,0.328624,-0.012673,0.395761,2.805798,-0.328016,-1.659613,0.495530,0.005988,0.732217,0.888889
46,0.272299,-0.947470,0.167789,0.297645,-0.054713,0.300883,-0.008750,0.393628,2.503811,-0.168586,-1.290943,0.539189,0.002193,0.688236,0.800000
47,0.503051,-0.858588,-0.098823,0.338986,-0.042846,0.276213,-0.010666,0.392465,2.281334,0.098985,-1.040805,0.576256,0.004252,0.651447,0.900000
48,0.566499,-0.716007,-0.407938,0.353013,-0.030151,0.255542,-0.018943,0.391643,2.115335,0.420194,-0.901449,0.608320,0.012918,0.619095,0.900000
49,0.466540,-0.556880,-0.687186,0.340024,-0.020015,0.238962,-0.032581,0.390590,1.957534,0.757609,-0.873443,0.635855,0.028115,0.588635,0.900000
50,0.245996,-0.405624,-0.880316,0.301960,-0.014695,0.226070,-0.049535,0.388817,1.707810,1.076527,-1.025638,0.657294,0.049084,0.556350,0.900000
51,-0.031083,-0.269273,-0.962562,-0.242381,-0.015016,0.216358,-0.067438,0.376441,1.021542,1.296301,-1.685720,0.664436,0.073539,0.512388,0.900000
52,-0.302714,-0.140809,-0.942622,-0.165459,-0.020549,0.209489,-0.084268,0.366020,0.038645,1.230400,-2.706207,0.652401,0.095786,0.450492,0.909091
53,-0.518762,-0.010915,-0.854849,-0.077140,-0.029949,0.205331,-0.098807,0.357658,-0.278453,1.025260,-3.120555,0.634838,0.113324,0.383114,0.909091
54,-0.654874,0.126216,-0.745124,0.017076,-0.041522,0.203866,-0.110776,0.351351,-0.338670,0.840721,2.951194,0.616810,0.126794,0.430671,0.909091
55,-0.706837,0.266224,-0.655367,0.111512,-0.053618,0.204999,-0.120678,0.346990,-0.316380,0.714669,2.781383,0.599843,0.137482,0.473411,0.909091
56,-0.704375,0.331501,-0.627665,0.155816,-0.065239,0.207258,-0.129731,0.343577,-0.294723,0.678550,2.701714,0.583869,0.147144,0.513202,0.909091
57,-0.674850,0.380963,-0.632016,0.164919,-0.075934,0.210306,-0.138543,0.340442,-0.428742,0.684152,2.627674,0.566104,0.156566,0.550298,0.916667
58,-0.572709,0.482482,-0.662733,0.174184,-0.084499,0.214998,-0.147581,0.337576,-0.760746,0.724463,2.441495,0.543227,0.166357,0.582905,0.916667
59,-0.415370,0.564172,-0.713567,0.166560,-0.090107,0.220917,-0.157174,0.334677,-1.129748,0.794576,2.205438,0.514871,0.177005,0.610405,0.916667
60,-0.193483,0.619978,-0.760389,0.143731,-0.091830,0.227568,-0.167228,0.331495,-1.565197,0.863912,1.873298,0.480204,0.188453,0.631454,0.916667
61,0.090200,0.632410,-0.769365,-0.108027,-0.088846,0.234204,-0.177099,0.324289,-2.074411,0.877846,1.429123,0.438325,0.199755,0.644530,0.916667
62,0.408447,0.578496,-0.706055,-0.062536,-0.080825,0.239758,-0.185630,0.318050,-2.570492,0.783911,0.956022,0.389795,0.209177,0.649554,0.923077
63,0.708645,0.443897,-0.548432,-0.011025,-0.068294,0.242998,-0.191389,0.312827,-2.946510,0.580488,0.559608,0.336838,0.215070,0.648126,0.923077
64,0.926949,0.233260,-0.293862,0.043094,-0.052743,0.242846,-0.192990,0.308612,3.090982,0.298265,0.246524,0.379872,0.216370,0.641851,0.923077
65,0.999297,-0.019737,0.031887,0.095664,-0.036558,0.238806,-0.189531,0.305336,2.950254,-0.031892,-0.019749,0.419416,0.212551,0.631673,0.923077
