iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,success_rate
163,0.000303,0.998981,-0.045128,-0.444133,-0.036287,0.218904,0.084046,0.303596,-1.738493,0.045144,1.570493,0.164374,-0.099986,0.521527,0.969697
164,-0.122648,0.992368,-0.012782,-0.413932,-0.036813,0.223621,0.083456,0.299221,-1.776953,0.012782,1.693764,0.152536,-0.099298,0.528675,0.969697
165,-0.282727,0.959143,0.010476,-0.372268,-0.038304,0.228078,0.083013,0.295151,-1.813971,-0.010476,1.857449,0.140618,-0.098760,0.536728,0.969697
166,-0.436248,0.899648,0.017906,-0.329997,-0.040701,0.232124,0.082621,0.291386,-1.828719,-0.017907,2.022298,0.128755,-0.098273,0.545678,0.969697
167,-0.576103,0.817168,0.018486,-0.289863,-0.043907,0.235627,0.082237,0.287905,-1.815117,-0.018487,2.184870,0.117115,-0.097795,0.555493,0.969697
168,-0.696939,0.716756,0.023159,-0.254552,-0.047794,0.238491,0.081886,0.284676,-1.770891,-0.023161,2.342178,0.105877,-0.097351,0.566128,0.970588
169,-0.794630,0.605586,0.042766,-0.226517,-0.052213,0.240663,0.081654,0.281651,-1.697989,-0.042779,2.490393,0.095203,-0.097028,0.577514,0.970588
170,-0.866232,0.492177,0.086048,-0.207581,-0.057002,0.242143,0.081680,0.278773,-1.601519,-0.086154,2.624898,0.085222,-0.096964,0.589558,0.970588
171,-0.908923,0.385825,0.158106,0.198865,-0.061984,0.242983,0.082127,0.278306,-1.487827,-0.158772,2.740158,0.076023,-0.097325,0.602134,0.970588
172,-0.919476,0.296030,0.258710,0.200628,-0.066969,0.243291,0.083153,0.277855,-1.362891,-0.261687,2.830117,0.067657,-0.098281,0.615088,0.970588
173,-0.894876,0.229958,0.382513,0.212065,-0.071755,0.243214,0.084884,0.277474,-1.229144,-0.392514,2.890063,0.060161,-0.099982,0.628238,0.942857
174,-0.832826,0.191640,0.519303,0.231342,-0.076129,0.242918,0.087381,0.277209,-1.084535,-0.546035,2.915421,0.053583,-0.102545,0.641383,0.971429
175,-0.732929,0.181021,0.655779,0.255705,-0.079882,0.242564,0.090629,0.277086,-0.920556,-0.715215,2.899455,0.048016,-0.106046,0.654286,0.971429
176,-0.598202,0.194140,0.777473,0.281619,-0.082827,0.242289,0.094531,0.277112,-0.718614,-0.890638,2.827778,0.043660,-0.110504,0.666635,0.971429
177,-0.434639,0.224381,0.872206,0.305272,-0.084814,0.242188,0.098925,0.277271,-0.436948,-1.059693,2.665033,0.040945,-0.115867,0.677926,0.971429
178,-0.253024,0.263965,0.930753,0.322547,-0.085759,0.242310,0.103598,0.277525,0.006693,-1.196467,2.335035,0.040752,-0.121938,0.687235,0.971429
179,-0.067035,0.305786,0.949737,0.329631,-0.085655,0.242665,0.108325,0.277817,0.669713,-1.252396,1.786605,0.044266,-0.128253,0.693377,0.972222
180,0.109476,0.344991,0.932200,0.323373,-0.084571,0.243233,0.112902,0.278070,1.314628,-1.200443,1.263517,0.051324,-0.134210,0.696544,0.972222
181,0.263804,0.379156,0.886932,0.301500,-0.082646,0.243984,0.117178,0.278199,1.749630,-1.090660,0.962917,0.060707,-0.139494,0.698016,0.972222
182,0.386838,0.407722,0.827115,0.262840,-0.080066,0.244884,0.121079,0.278115,2.051891,-0.973955,0.811676,0.071647,-0.144079,0.698641,0.972222
183,0.473564,0.430370,0.768452,0.207804,-0.077041,0.245897,0.124617,0.277730,2.294195,-0.876419,0.737650,0.083792,-0.148081,0.698854,0.972222
184,0.524344,0.445634,0.725586,0.137887,-0.073773,0.246983,0.127883,0.276970,2.511021,-0.811885,0.704430,0.096984,-0.151688,0.698884,0.972973
185,0.542254,0.449373,0.709947,0.056434,-0.070443,0.248077,0.131029,0.275778,2.714847,-0.789423,0.692005,0.111134,-0.155135,0.698847,0.972973
186,0.537700,0.441742,0.718152,-0.004844,-0.067173,0.249118,0.134186,0.274270,2.851650,-0.801143,0.687737,0.125868,-0.158609,0.698787,0.972973
187,0.537692,0.441732,0.718165,-0.004893,-0.063939,0.250148,0.137309,0.272777,2.851756,-0.801161,0.687734,0.140445,-0.162045,0.698728,0.972973
188,0.537692,0.441732,0.718165,-0.004893,-0.060739,0.251167,0.140398,0.271300,2.851756,-0.801161,0.687734,0.154867,-0.165444,0.698670,0.972973
189,0.614002,0.317710,0.722538,0.005075,-0.057169,0.251519,0.143478,0.269891,2.923082,-0.807467,0.477503,0.169514,-0.168841,0.697499,0.973684
190,0.684913,-0.081898,0.724008,0.035486,-0.053263,0.249764,0.146534,0.268658,3.115289,-0.809595,-0.119009,0.185018,-0.172214,0.693202,0.973684
191,0.532391,-0.452937,0.715128,0.068027,-0.050197,0.246085,0.149511,0.267607,-2.989973,-0.796808,-0.704935,0.168395,-0.175484,0.685882,0.973684
192,0.204499,-0.686259,0.698018,0.101713,-0.048870,0.241229,0.152368,0.266743,-2.815667,-0.772626,-1.281184,0.152853,-0.178594,0.675637,0.973684
193,-0.202547,-0.716158,0.667902,-0.135492,-0.049666,0.236269,0.155039,0.264659,-2.636857,-0.731386,-1.846422,0.138398,-0.181458,0.662569,0.973684
194,-0.579040,-0.535938,0.614396,-0.168523,-0.052395,0.232288,0.157407,0.262426,-2.454345,-0.661620,-2.394833,0.125034,-0.183933,0.646809,0.974359
195,-0.826880,-0.199001,0.525992,-0.199466,-0.056367,0.230077,0.159297,0.260057,-2.280792,-0.553882,-2.905419,0.112696,-0.185830,0.628593,0.974359
196,-0.896527,0.204961,0.392722,-0.227455,-0.060653,0.229949,0.160488,0.257570,-2.126613,-0.403589,2.916839,0.101271,-0.186941,0.640267,0.974359
197,-0.791518,0.573123,0.212201,-0.251346,-0.064363,0.231691,0.160750,0.254987,-1.996767,-0.213826,2.514888,0.090621,-0.187078,0.649783,0.974359
198,-0.564684,0.825248,-0.009909,-0.270269,-0.066890,0.234688,0.159888,0.252334,-1.887050,0.009909,2.170880,0.080633,-0.186083,0.657466,0.974359
199,-0.298359,0.919181,-0.257076,-0.283302,-0.068053,0.238128,0.157793,0.249642,-1.788177,0.259996,1.884660,0.071242,-0.183841,0.663632,0.975000
200,-0.079142,0.860908,-0.502567,-0.289617,-0.068109,0.241242,0.154491,0.246946,-1.685088,0.526565,1.662468,0.062460,-0.180289,0.668627,0.975000
201,0.032006,0.695414,-0.717896,-0.288636,-0.067611,0.243501,0.150151,0.244281,-1.546327,0.800775,1.524804,0.054456,-0.175408,0.672886,0.975000
202,0.010198,0.487714,-0.872944,0.279891,-0.067225,0.244710,0.145086,0.244458,-1.288973,1.061205,1.549890,0.047806,-0.169287,0.677228,0.975000
203,-0.129347,0.298140,-0.945718,0.263050,-0.067531,0.244974,0.139713,0.244549,-0.666669,1.239796,1.980136,0.044286,-0.162345,0.683646,0.975000
204,-0.342649,0.166462,-0.924598,0.237952,-0.068880,0.244589,0.134495,0.244517,0.194098,1.179980,2.689363,0.045021,-0.155765,0.693478,0.951220
205,-0.571841,0.102565,-0.813928,0.204950,-0.071334,0.243896,0.129869,0.244324,0.575539,0.950881,2.964121,0.047608,-0.150367,0.704554,0.951220
206,-0.770578,0.087214,-0.631350,0.164010,-0.074728,0.243135,0.126174,0.243934,0.696354,0.683293,3.028892,0.050758,-0.146320,0.715837,0.951220
207,-0.909035,0.086561,-0.407630,0.115658,-0.078758,0.242379,0.123595,0.243314,0.707662,0.419857,3.046656,0.053931,-0.143585,0.727097,0.951220
208,-0.981105,0.065890,-0.181909,0.060864,-0.083097,0.241530,0.122126,0.242437,0.652136,0.182927,3.074534,0.056807,-0.142015,0.738383,0.951220
209,-0.999954,0.003002,0.009100,0.000227,-0.087484,0.240389,0.121585,0.241278,0.542363,-0.009100,3.138591,0.059130,-0.141379,0.749867,0.952381
210,-0.985382,-0.105110,0.134069,-0.064972,-0.091759,0.238744,0.121645,0.239820,0.389536,-0.134474,-3.035325,0.060704,-0.141346,0.731843,0.952381
211,-0.953323,-0.245263,0.176130,-0.133843,-0.095842,0.236450,0.121903,0.238049,0.216974,-0.177054,-2.889782,0.061444,-0.141515,0.714679,0.952381
212,-0.909043,-0.394379,0.134561,-0.204775,-0.099678,0.233474,0.121963,0.235960,0.063598,-0.134970,-2.732259,0.061454,-0.141485,0.698420,0.952381
213,-0.846360,-0.531972,0.026098,-0.276618,-0.103184,0.229881,0.121513,0.233554,-0.035087,-0.026101,-2.580451,0.061001,-0.140943,0.683026,0.952381
214,-0.753950,-0.646236,-0.118059,-0.347781,-0.106225,0.225787,0.120393,0.230837,-0.057193,0.118335,-2.432971,0.060449,-0.139731,0.668465,0.953488
215,-0.624335,-0.737307,-0.258040,-0.416597,-0.108635,0.221307,0.118633,0.227826,0.006900,0.260993,-2.273417,0.060200,-0.137868,0.654782,0.953488
216,-0.460475,-0.813870,-0.354371,-0.481829,-0.110264,0.216515,0.116443,0.224541,0.156712,0.362242,-2.085677,0.060647,-0.135552,0.642095,0.953488
217,-0.280006,-0.884011,-0.374327,0.541883,-0.111046,0.211443,0.114182,0.226003,0.368967,0.383671,-1.877544,0.062068,-0.133159,0.630483,0.953488
218,-0.110974,-0.947397,-0.300207,0.595242,-0.111045,0.206128,0.112281,0.227697,0.592557,0.304910,-1.687400,0.064501,-0.131150,0.619851,0.953488
219,0.018813,-0.991064,-0.132052,0.640919,-0.110452,0.200661,0.111165,0.229584,0.781284,0.132439,-1.551816,0.067774,-0.129946,0.609935,0.954545
220,0.089742,-0.989913,0.109627,0.677497,-0.109542,0.195249,0.111158,0.231620,0.916807,-0.109847,-1.480387,0.071633,-0.129855,0.600433,0.954545
221,0.101827,-0.916281,0.387376,0.703937,-0.108586,0.190220,0.112408,0.233757,1.002242,-0.397784,-1.460120,0.075844,-0.131067,0.591109,0.954545
222,0.092603,-0.851237,0.516547,0.712607,-0.107680,0.185528,0.114228,0.235914,1.026612,-0.542813,-1.462436,0.080127,-0.132922,0.581859,0.954545
223,0.092603,-0.851237,0.516547,0.712607,-0.106782,0.180879,0.116033,0.238051,1.026612,-0.542813,-1.462436,0.084371,-0.134760,0.572692,0.954545
224,0.092603,-0.851237,0.516547,0.712607,-0.105892,0.176272,0.117821,0.240170,1.026612,-0.542813,-1.462436,0.088578,-0.136582,0.563606,0.955556
225,0.183863,-0.867703,0.461830,0.714953,-0.104604,0.171632,0.119349,0.242280,1.148292,-0.480057,-1.361989,0.093287,-0.138108,0.555048,0.955556
226,0.381937,-0.854674,0.351647,0.713745,-0.102451,0.167090,0.120377,0.244366,1.310807,-0.359330,-1.150540,0.098675,-0.139087,0.547501,0.955556
227,0.627386,-0.746761,0.220758,0.706365,-0.099236,0.163065,0.120820,0.246401,1.446478,-0.222592,-0.872053,0.104612,-0.139455,0.541248,0.955556
228,0.858414,-0.506334,0.082173,0.692441,-0.095036,0.160129,0.120650,0.248358,1.561248,-0.082266,-0.532922,0.111001,-0.139204,0.536537,0.955556
229,0.988493,-0.141929,-0.052323,0.671789,-0.090304,0.158810,0.119895,0.250207,1.659363,0.052347,-0.142607,0.117762,-0.138368,0.533571,0.934783
230,0.943513,0.280934,-0.175671,0.644368,-0.085809,0.159341,0.118610,0.251920,1.742554,0.176587,0.289394,0.124827,-0.136998,0.532509,0.956522
231,0.698787,0.655475,-0.286442,0.610235,-0.082413,0.161488,0.116856,0.253472,1.809895,0.290512,0.753426,0.132121,-0.135148,0.533466,0.956522
232,0.303477,0.870585,-0.387278,0.569879,-0.080749,0.164545,0.114683,0.254835,1.858566,0.397677,1.235378,0.139563,-0.132851,0.536491,0.956522
233,-0.134545,0.864344,-0.484569,0.523611,-0.080980,0.167548,0.112111,0.255989,1.886595,0.505871,1.725218,0.147061,-0.130110,0.541593,0.956522
234,-0.485809,0.650101,-0.584259,0.471881,-0.082710,0.169611,0.109135,0.256912,1.892999,0.623967,2.212556,0.154522,-0.126887,0.548734,0.956522
235,-0.650876,0.319841,-0.688521,0.415518,-0.085128,0.170250,0.105741,0.257587,1.877461,0.759448,2.684848,0.161854,-0.123116,0.557824,0.957447
236,-0.607676,0.007467,-0.794150,0.355321,-0.087342,0.169560,0.101928,0.258001,1.837260,0.917608,3.129306,0.168953,-0.118706,0.568720,0.957447
237,-0.421279,-0.168302,-0.891178,0.292261,-0.088751,0.168134,0.097738,0.258145,1.756844,1.099936,-2.761515,0.175653,-0.113564,0.554668,0.957447
238,-0.214937,-0.156901,-0.963942,0.227330,-0.089281,0.166769,0.093277,0.258016,1.552144,1.301439,-2.511023,0.181436,-0.107618,0.541787,0.957447
239,-0.113528,0.002206,-0.993532,0.161750,-0.089383,0.166080,0.088729,0.257613,0.469052,1.457002,3.122167,0.182640,-0.101072,0.552584,0.957447
240,-0.184829,0.201041,-0.961988,0.096402,-0.089780,0.166226,0.084351,0.256941,-0.749519,1.294191,2.314206,0.178756,-0.095258,0.559924,0.958333
241,-0.409091,0.314292,-0.856659,0.032673,-0.091105,0.166840,0.080447,0.256011,-0.962396,1.028759,2.486502,0.174021,-0.090594,0.567918,0.958333
242,-0.691134,0.261998,-0.673566,-0.028569,-0.093585,0.167233,0.077331,0.254835,-1.029110,0.739022,2.779245,0.169049,-0.087166,0.577056,0.958333
243,-0.905668,0.046754,-0.421402,-0.086063,-0.096927,0.166738,0.075279,0.253432,-1.047320,0.434991,3.090014,0.164044,-0.085017,0.587397,0.958333
244,-0.961381,-0.246744,-0.121922,-0.138657,-0.100470,0.165043,0.074471,0.251825,-1.034386,0.122226,-2.890359,0.159132,-0.084168,0.573144,0.958333
245,-0.845331,-0.497583,0.194491,-0.185615,-0.103510,0.162339,0.074960,0.250039,-0.988273,-0.195738,-2.609579,0.154449,-0.084623,0.560153,0.959184
246,-0.628674,-0.605735,0.487703,-0.225779,-0.105645,0.159216,0.076638,0.248105,-0.892098,-0.509456,-2.374776,0.150194,-0.086350,0.548223,0.959184
247,-0.426686,-0.545633,0.721266,-0.258740,-0.106944,0.156363,0.079248,0.246053,-0.696136,-0.805628,-2.234466,0.146768,-0.089262,0.536957,0.959184
248,-0.344352,-0.375873,0.860314,-0.283648,-0.107902,0.154217,0.082398,0.243917,-0.278619,-1.035886,-2.312457,0.145053,-0.093079,0.525467,0.959184
249,-0.418289,-0.209765,0.883760,-0.300141,-0.109148,0.152755,0.085616,0.241732,0.431223,-1.083838,-2.676759,0.146202,-0.097058,0.512607,0.959184
250,-0.510721,-0.162127,0.844321,-0.305484,-0.110755,0.151495,0.088651,0.239544,0.782100,-1.005297,-2.834206,0.148746,-0.100691,0.499219,0.960000
251,-0.510721,-0.162127,0.844321,-0.305484,-0.112348,0.150246,0.091661,0.237372,0.782100,-1.005297,-2.834206,0.151269,-0.104295,0.485939,0.960000
252,-0.510721,-0.162127,0.844321,-0.305484,-0.113929,0.149006,0.094648,0.235218,0.782100,-1.005297,-2.834206,0.153772,-0.107871,0.472764,0.960000
253,-0.510721,-0.162127,0.844321,-0.305484,-0.115497,0.147776,0.097611,0.233081,0.782100,-1.005297,-2.834206,0.156256,-0.111418,0.459693,0.960000
254,-0.510721,-0.162127,0.844321,-0.305484,-0.117053,0.146556,0.100551,0.230960,0.782100,-1.005297,-2.834206,0.158720,-0.114937,0.446725,0.960000
255,-0.506094,-0.126582,0.853139,-0.292185,-0.118579,0.145485,0.103502,0.228909,0.824602,-1.021973,-2.896504,0.161331,-0.118494,0.433614,0.960784
256,-0.414794,0.118025,0.902228,-0.201367,-0.119736,0.145378,0.106622,0.227228,1.198467,-1.124909,2.864379,0.165382,-0.122425,0.443109,0.960784
257,-0.223094,0.315923,0.922183,-0.121502,-0.120138,0.146041,0.109796,0.225871,1.716023,-1.173688,2.185648,0.171416,-0.126516,0.449889,0.960784
258,0.035595,0.418808,0.907377,-0.061284,-0.119535,0.147099,0.112887,0.224758,2.250727,-1.137001,1.486009,0.179475,-0.130433,0.453905,0.960784
259,0.316938,0.406845,0.856754,-0.023698,-0.117849,0.148102,0.115759,0.223799,2.661080,-1.028942,0.908983,0.189057,-0.133902,0.455662,0.960784
260,0.570442,0.281702,0.771518,-0.010560,-0.115202,0.148615,0.118281,0.222897,2.946147,-0.881224,0.458700,0.199661,-0.136776,0.455674,0.961538
261,0.752560,0.067308,0.655075,-0.021900,-0.111877,0.148304,0.120338,0.221960,-3.128103,-0.714282,0.089202,0.186911,-0.138989,0.454270,0.961538
262,0.835732,-0.196002,0.512967,-0.056093,-0.108260,0.146990,0.121837,0.220898,-2.960580,-0.538638,-0.230364,0.174898,-0.140514,0.451657,0.961538
263,0.814264,-0.460982,0.352804,-0.109873,-0.104753,0.144678,0.122715,0.219641,-2.814407,-0.360566,-0.515145,0.163531,-0.141351,0.447981,0.961538
264,0.703623,-0.686744,0.182475,-0.179070,-0.101691,0.141529,0.122941,0.218130,-2.676189,-0.183503,-0.773258,0.152775,-0.141510,0.443355,0.961538
265,0.645049,-0.753868,0.124877,-0.212089,-0.098873,0.138150,0.122948,0.216507,-2.611804,-0.125203,-0.863030,0.142343,-0.141449,0.438425,0.962264
266,0.665306,-0.684317,0.298458,-0.255887,-0.096000,0.135058,0.123608,0.214731,-2.444263,-0.303077,-0.799483,0.132618,-0.142056,0.433771,0.962264
267,0.621986,-0.610345,0.490522,-0.300441,-0.093311,0.132266,0.124982,0.212801,-2.247882,-0.512689,-0.775952,0.123703,-0.143445,0.429241,0.962264
268,0.512713,-0.552323,0.657316,-0.338811,-0.091050,0.129712,0.126969,0.210743,-2.017137,-0.717251,-0.822573,0.115714,-0.145586,0.424570,0.962264
269,0.349468,-0.518677,0.780286,-0.370488,-0.089412,0.127301,0.129398,0.208583,-1.705630,-0.895123,-0.977894,0.108944,-0.148372,0.419356,0.962264
270,0.149255,-0.513726,0.844872,-0.395178,-0.088528,0.124927,0.132047,0.206346,-1.261040,-1.006326,-1.288047,0.103870,-0.151550,0.413032,0.962963
271,-0.066155,-0.536902,0.841047,-0.412527,-0.088446,0.122485,0.134664,0.204063,-0.739394,-0.999215,-1.693395,0.100758,-0.154678,0.405259,0.962963
272,-0.274015,-0.582141,0.765524,-0.422383,-0.089128,0.119894,0.136983,0.201760,-0.321320,-0.871856,-2.010733,0.099206,-0.157314,0.396377,0.962963
273,-0.452619,-0.638326,0.622637,-0.424740,-0.090459,0.117117,0.138762,0.199465,-0.058142,-0.672108,-2.187585,0.098630,-0.159200,0.386912,0.962963
274,-0.586539,-0.691609,0.421485,-0.419734,-0.092270,0.114166,0.139794,0.197205,0.101416,-0.435082,-2.274174,0.098640,-0.160207,0.377200,0.962963
275,-0.664310,-0.725964,0.177955,-0.407553,-0.094350,0.111111,0.139933,0.195006,0.197479,-0.178908,-2.311877,0.098999,-0.160275,0.367422,0.963636
276,-0.682109,-0.726183,-0.085940,-0.388665,-0.096479,0.108077,0.139114,0.192891,0.250880,0.086046,-2.324908,0.099550,-0.159382,0.357667,0.963636
277,-0.649732,-0.686688,-0.326048,-0.365978,-0.098477,0.105208,0.137435,0.190873,0.270167,0.332120,-2.328548,0.100166,-0.157608,0.347969,0.963636
278,-0.645421,-0.681769,-0.344417,-0.363981,-0.100444,0.102377,0.135702,0.188878,0.270530,0.351618,-2.328814,0.100779,-0.155776,0.338341,0.963636
279,-0.645421,-0.681769,-0.344417,-0.363981,-0.102397,0.099566,0.133981,0.186896,0.270530,0.351618,-2.328814,0.101387,-0.153958,0.328781,0.963636
280,-0.645418,-0.681773,-0.344415,-0.363984,-0.104337,0.096776,0.132272,0.184929,0.270530,0.351615,-2.328809,0.101991,-0.152152,0.319289,0.964286
281,-0.499767,-0.831626,-0.242138,-0.470098,-0.105744,0.093472,0.130940,0.182597,0.268636,0.244569,-2.111915,0.102584,-0.150740,0.310637,0.964286
282,-0.218380,-0.968668,-0.118293,0.614973,-0.106143,0.089705,0.130056,0.184131,0.213158,0.118570,-1.792533,0.102976,-0.149785,0.303179,0.964286
283,0.101503,-0.993517,-0.051196,0.739629,-0.105410,0.085878,0.129415,0.186094,0.117872,0.051218,-1.468984,0.103029,-0.149075,0.296917,0.964286
284,0.411871,-0.909724,-0.052591,0.839966,-0.103588,0.082372,0.128775,0.188396,0.013193,0.052615,-1.145664,0.102712,-0.148365,0.291838,0.964286
285,0.669239,-0.733648,-0.117814,0.913541,-0.100877,0.079509,0.127909,0.190940,-0.069449,0.118088,-0.831278,0.102108,-0.147430,0.287897,0.947368
286,0.841211,-0.490255,-0.228068,0.959270,-0.097583,0.077517,0.126665,0.193627,-0.104400,0.230093,-0.527674,0.101386,-0.146110,0.285045,0.964912
287,0.911275,-0.208502,-0.355112,0.977440,-0.094067,0.076520,0.124986,0.196358,-0.073651,0.363034,-0.224931,0.100776,-0.144336,0.283269,0.964912
288,0.880187,0.082740,-0.467360,0.969568,-0.090685,0.076542,0.122929,0.199043,0.034784,0.486302,0.093727,0.100547,-0.142146,0.282610,0.964912
289,0.764358,0.358022,-0.536263,0.938253,-0.087726,0.077516,0.120648,0.201600,0.221138,0.566003,0.438046,0.100965,-0.139696,0.283148,0.964912
290,0.591868,0.596920,-0.541645,0.887063,-0.085383,0.079307,0.118365,0.203964,0.457732,0.572393,0.789648,0.102195,-0.137240,0.284895,0.964912
291,0.394927,0.786546,-0.474740,0.819778,-0.083732,0.081737,0.116326,0.206080,0.693280,0.494669,1.105468,0.104226,-0.135069,0.287715,0.948276
292,0.206402,0.917783,-0.339223,0.740984,-0.082738,0.084600,0.114766,0.207912,0.886444,0.346091,1.349584,0.106905,-0.133421,0.291351,0.948276
293,0.084733,0.982864,-0.163701,0.670934,-0.082167,0.087666,0.113816,0.209492,1.000964,0.164442,1.484798,0.109956,-0.132404,0.295424,0.948276
294,0.232482,0.970723,0.060401,0.705578,-0.081097,0.090670,0.113634,0.211180,0.859803,-0.060438,1.335730,0.112507,-0.132160,0.298963,0.948276
295,0.408476,0.868715,0.280146,0.776353,-0.079437,0.093307,0.114199,0.213096,0.597892,-0.283946,1.131266,0.114152,-0.132674,0.301784,0.948276
296,0.499760,0.743226,0.444809,0.835468,-0.077480,0.095503,0.115316,0.215198,0.283614,-0.460961,0.978821,0.114725,-0.133783,0.304071,0.932203
297,0.538353,0.643760,0.543827,0.873187,-0.075407,0.097349,0.116758,0.217414,-0.087396,-0.574991,0.874331,0.114044,-0.135269,0.305992,0.932203
298,0.573954,0.580721,0.577356,0.881189,-0.073228,0.098971,0.118304,0.219641,-0.495300,-0.615487,0.791258,0.111999,-0.136880,0.307620,0.932203
299,0.643522,0.527168,0.554953,0.853614,-0.070831,0.100403,0.119764,0.221761,-0.902251,-0.588307,0.686334,0.108607,-0.138390,0.308887,0.932203
300,0.750973,0.439246,0.493055,0.788094,-0.068091,0.101532,0.121009,0.223649,-1.281270,-0.515598,0.529244,0.103974,-0.139647,0.309621,0.932203
301,0.867439,0.281352,0.410355,0.685114,-0.064983,0.102130,0.121970,0.225182,-1.633244,-0.422843,0.313642,0.098203,-0.140588,0.309634,0.916667
302,0.944228,0.047966,0.325781,0.549917,-0.061641,0.101950,0.122645,0.226258,-1.966751,-0.331837,0.050755,0.091365,-0.141221,0.308777,0.916667
303,0.938706,-0.232904,0.254141,-0.391650,-0.058340,0.100845,0.123079,0.224218,-2.291801,-0.256960,-0.243200,0.083500,-0.141603,0.306956,0.916667
304,0.851213,-0.481733,0.208257,-0.242499,-0.055348,0.098929,0.123359,0.222683,-2.576547,-0.209792,-0.514997,0.074750,-0.141828,0.304252,0.916667
305,0.844083,-0.494981,0.206199,-0.234061,-0.052399,0.096982,0.123631,0.221186,-2.592528,-0.207689,-0.530369,0.066005,-0.142044,0.301515,0.916667
306,0.844083,-0.494981,0.206199,-0.234061,-0.049469,0.095047,0.123900,0.219698,-2.592528,-0.207689,-0.530369,0.057317,-0.142258,0.298797,0.916667
307,0.844083,-0.494981,0.206199,-0.234061,-0.046559,0.093125,0.124169,0.218220,-2.592528,-0.207689,-0.530369,0.048685,-0.142471,0.296096,0.916667
308,0.844083,-0.494981,0.206199,-0.234061,-0.043667,0.091216,0.124435,0.216751,-2.592528,-0.207689,-0.530369,0.040110,-0.142683,0.293412,0.916667
309,0.844083,-0.494981,0.206199,-0.234061,-0.040794,0.089319,0.124699,0.215292,-2.592528,-0.207689,-0.530369,0.031590,-0.142893,0.290747,0.916667
310,0.844083,-0.494981,0.206199,-0.234061,-0.037940,0.087434,0.124962,0.213843,-2.592528,-0.207689,-0.530369,0.023125,-0.143102,0.288098,0.916667
311,0.885647,-0.442385,0.141158,-0.247631,-0.034970,0.085730,0.125014,0.212359,-2.592379,-0.141631,-0.463251,0.014715,-0.143098,0.285682,0.918033
312,0.971631,-0.199111,-0.127627,-0.290247,-0.031744,0.084817,0.124205,0.210748,-2.561268,0.127976,-0.202127,0.006459,-0.142229,0.284118,0.918033
313,0.931021,0.343172,-0.124229,-0.407260,-0.028668,0.085643,0.123411,0.208774,-2.264621,0.124550,0.353146,-0.000797,-0.141377,0.284339,0.918033
314,0.556683,0.809666,0.185862,0.534466,-0.026804,0.087949,0.123610,0.209811,-1.938576,-0.186949,0.968478,-0.006968,-0.141522,0.286518,0.918033
315,0.068902,0.802847,0.592190,0.617090,-0.026500,0.090218,0.125097,0.211104,-1.716564,-0.633774,1.485184,-0.012396,-0.143084,0.290323,0.918033
316,-0.159412,0.385505,0.908831,0.648149,-0.026920,0.091153,0.127578,0.212487,-1.572406,-1.140473,1.962898,-0.017332,-0.146241,0.295616,0.919355
317,0.043247,-0.078644,0.995964,0.625091,-0.026699,0.090617,0.130317,0.213788,2.040246,-1.480924,-1.068025,-0.010842,-0.150451,0.291314,0.919355
318,0.501813,-0.217822,0.837100,0.549803,-0.025037,0.089647,0.132540,0.214845,1.990742,-0.991961,-0.409529,-0.004547,-0.153097,0.289110,0.919355
319,0.838361,0.069497,0.540667,0.428659,-0.022330,0.089584,0.133819,0.215515,2.190236,-0.571230,0.082707,0.002333,-0.154408,0.288463,0.919355
320,0.781079,0.560682,0.274866,0.270879,-0.019820,0.091056,0.134260,0.215688,2.469198,-0.278450,0.622592,0.010042,-0.154796,0.289507,0.919355
321,0.360902,0.915691,0.176804,0.089245,-0.018634,0.093625,0.134392,0.215295,2.803626,-0.177738,1.195360,0.018745,-0.154867,0.292329,0.920635
322,-0.143690,0.949008,0.280601,-0.101484,-0.019022,0.096281,0.134846,0.214311,3.123093,-0.284420,1.721066,0.028385,-0.155270,0.296766,0.920635
323,-0.450579,0.729967,0.513933,-0.286779,-0.020358,0.098243,0.136020,0.212759,-2.904298,-0.539763,2.123810,0.019306,-0.156460,0.302423,0.920635
324,-0.463641,0.463103,0.755362,-0.452660,-0.021726,0.099369,0.137932,0.210706,-2.682736,-0.856207,2.356775,0.010966,-0.158620,0.308764,0.920635
325,-0.282033,0.304667,0.909745,0.586136,-0.022527,0.100001,0.140306,0.211861,-2.365214,-1.142669,2.317635,0.003655,-0.161647,0.314945,0.920635
326,-0.072571,0.273773,0.959052,0.677464,-0.022681,0.100534,0.142818,0.213289,-1.744590,-1.283638,1.829914,-0.001708,-0.165089,0.319592,0.921875
327,0.048141,0.301478,0.952257,0.720521,-0.022464,0.101149,0.145293,0.214840,-1.307384,-1.260546,1.412449,-0.005701,-0.168439,0.322934,0.921875
328,0.031875,0.312614,0.949345,0.712526,-0.022299,0.101793,0.147745,0.216357,-1.409671,-1.251145,1.469186,-0.009981,-0.171740,0.326429,0.921875
329,-0.172147,0.269745,0.947419,0.640096,-0.022754,0.102304,0.150175,0.217645,-2.039135,-1.245072,2.138819,-0.016149,-0.175003,0.331937,0.921875
330,-0.449035,0.130648,0.883911,0.523914,-0.024046,0.102390,0.152399,0.218574,-2.556472,-1.084160,2.858456,-0.023847,-0.177758,0.339594,0.921875
