iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,a_x,a_y,a_z,a_mag,alpha_x,alpha_y,alpha_z,alpha_mag,success_rate
107,0.537151,0.766157,0.352807,0.725651,0.284825,0.554765,-0.089106,0.323450,1.002462,-0.360569,0.959334,0.523074,0.085029,1.109116,0.000009,0.000232,-0.000564,0.000610,-0.001139,0.000215,-0.000537,0.001277,0.904762
108,0.521089,0.775776,0.355863,0.736815,0.287012,0.556811,-0.084986,0.327277,0.933453,-0.363837,0.979317,0.526874,0.080873,1.107914,0.000113,0.000105,-0.000611,0.000630,-0.000733,0.000828,-0.000520,0.001222,0.904762
109,0.505505,0.785605,0.356776,0.747583,0.289017,0.558910,-0.080933,0.331133,0.863917,-0.364815,0.999032,0.529966,0.076784,1.106915,0.000081,0.000203,-0.000590,0.000629,-0.001058,0.000225,-0.000593,0.001233,0.909091
110,0.490679,0.795476,0.355601,0.757841,0.290850,0.561061,-0.076965,0.335012,0.794594,-0.363557,1.018089,0.532372,0.072781,1.106108,0.000169,0.000095,-0.000615,0.000645,-0.000715,0.000696,-0.000572,0.001150,0.909091
111,0.476678,0.805345,0.352416,0.767610,0.292524,0.563261,-0.073096,0.338910,0.725336,-0.360152,1.036359,0.534110,0.068880,1.105479,0.000178,0.000122,-0.000610,0.000647,-0.000819,0.000457,-0.000613,0.001120,0.909091
112,0.463605,0.815142,0.347296,0.776884,0.294052,0.565510,-0.069343,0.342820,0.656134,-0.354686,1.053678,0.535200,0.065098,1.105017,0.000202,0.000124,-0.000613,0.000657,-0.000851,0.000343,-0.000645,0.001122,0.909091
113,0.451604,0.824757,0.340339,0.785623,0.295446,0.567805,-0.065717,0.346739,0.587228,-0.347277,1.069828,0.535660,0.061449,1.104706,0.000248,0.000082,-0.000616,0.000669,-0.000735,0.000442,-0.000648,0.001075,0.909091
114,0.440780,0.834098,0.331651,0.793800,0.296721,0.570140,-0.062232,0.350660,0.518717,-0.338054,1.084647,0.535512,0.057945,1.104530,0.000281,0.000060,-0.000614,0.000677,-0.000691,0.000431,-0.000659,0.001048,0.913043
115,0.431243,0.843061,0.321368,0.801383,0.297891,0.572514,-0.058896,0.354580,0.450787,-0.327174,1.097974,0.534775,0.054596,1.104473,0.000322,0.000016,-0.000605,0.000686,-0.000577,0.000511,-0.000652,0.001010,0.913043
116,0.423056,0.851568,0.309604,0.808361,0.298970,0.574919,-0.055719,0.358492,0.383392,-0.314776,1.109715,0.533470,0.051412,1.104518,0.000345,0.000008,-0.000599,0.000691,-0.000590,0.000418,-0.000669,0.000985,0.913043
117,0.416270,0.859555,0.296452,0.814729,0.299972,0.577352,-0.052709,0.362391,0.316382,-0.300976,1.119799,0.531614,0.048400,1.104648,0.000365,0.000011,-0.000596,0.000699,-0.000651,0.000272,-0.000698,0.000993,0.913043
118,0.410962,0.866915,0.282081,0.820448,0.300913,0.579806,-0.049872,0.366273,0.249938,-0.285963,1.128123,0.529227,0.045566,1.104847,0.000405,-0.000043,-0.000579,0.000708,-0.000510,0.000382,-0.000675,0.000929,0.913043
119,0.407179,0.873553,0.266665,0.825490,0.301806,0.582275,-0.047212,0.370132,0.184173,-0.269931,1.134620,0.526328,0.042915,1.105097,0.000437,-0.000091,-0.000556,0.000713,-0.000389,0.000460,-0.000649,0.000886,0.875000
120,0.404933,0.879435,0.250248,0.829865,0.302665,0.584751,-0.044733,0.373963,0.118639,-0.252936,1.139289,0.522930,0.040450,1.105382,0.000444,-0.000048,-0.000567,0.000722,-0.000621,0.000111,-0.000721,0.000959,0.916667
121,0.404260,0.884437,0.233122,0.833516,0.303505,0.587228,-0.042437,0.377761,0.053859,-0.235287,1.142069,0.519054,0.038171,1.105686,0.000491,-0.000170,-0.000510,0.000728,-0.000219,0.000525,-0.000607,0.000832,0.916667
122,0.405162,0.888540,0.215268,0.836459,0.304338,0.589697,-0.040325,0.381521,-0.010870,-0.216966,1.142975,0.514710,0.036079,1.105991,0.000491,-0.000091,-0.000540,0.000736,-0.000609,0.000001,-0.000727,0.000949,0.916667
123,0.407620,0.891637,0.197054,0.838641,0.305178,0.592152,-0.038395,0.385237,-0.074832,-0.198352,1.142005,0.509917,0.034173,1.106284,0.000531,-0.000246,-0.000451,0.000739,-0.000065,0.000569,-0.000552,0.000795,0.916667
124,0.411621,0.893703,0.178502,0.840067,0.306036,0.594584,-0.036646,0.388905,-0.138585,-0.179464,1.139180,0.504687,0.032451,1.106549,0.000536,-0.000194,-0.000468,0.000738,-0.000356,0.000168,-0.000638,0.000750,0.916667
125,0.417118,0.894688,0.159829,0.840716,0.306925,0.596985,-0.035074,0.392520,-0.201977,-0.160518,1.134539,0.499034,0.030907,1.106773,0.000553,-0.000258,-0.000418,0.000740,-0.000175,0.000314,-0.000568,0.000672,0.920000
126,0.424072,0.894559,0.141164,0.840577,0.307855,0.599347,-0.033675,0.396076,-0.265167,-0.141637,1.128118,0.492969,0.029537,1.106943,0.000564,-0.000272,-0.000398,0.000742,-0.000205,0.000221,-0.000565,0.000641,0.920000
127,0.432425,0.893288,0.122660,0.839634,0.308835,0.601661,-0.032444,0.399568,-0.328220,-0.122969,1.119963,0.486503,0.028337,1.107045,0.000573,-0.000299,-0.000367,0.000744,-0.000178,0.000196,-0.000541,0.000602,0.920000
128,0.442121,0.890853,0.104446,0.837874,0.309877,0.603920,-0.031375,0.402993,-0.391259,-0.104637,1.110121,0.479645,0.027298,1.107069,0.000582,-0.000319,-0.000341,0.000746,-0.000187,0.000134,-0.000527,0.000575,0.920000
129,0.453099,0.887239,0.086651,0.835280,0.310987,0.606117,-0.030460,0.406344,-0.454405,-0.086760,1.098638,0.472405,0.026414,1.107004,0.000591,-0.000337,-0.000316,0.000750,-0.000206,0.000065,-0.000516,0.000560,0.920000
130,0.465259,0.882446,0.069445,0.831843,0.312174,0.608242,-0.029691,0.409617,-0.517610,-0.069501,1.085597,0.464789,0.025676,1.106839,0.000591,-0.000379,-0.000267,0.000751,-0.000108,0.000126,-0.000455,0.000485,0.923077
131,0.478509,0.876484,0.052958,0.827552,0.313443,0.610290,-0.029060,0.412807,-0.580930,-0.052982,1.071074,0.456806,0.025075,1.106566,0.000591,-0.000402,-0.000232,0.000752,-0.000097,0.000096,-0.000425,0.000446,0.923077
132,0.492723,0.869385,0.037345,0.822410,0.314802,0.612253,-0.028557,0.415910,-0.644283,-0.037354,1.055185,0.448465,0.024602,1.106177,0.000580,-0.000441,-0.000176,0.000749,0.000014,0.000175,-0.000350,0.000392,0.923077
133,0.507846,0.861150,0.022667,0.816389,0.316253,0.614124,-0.028172,0.418921,-0.707937,-0.022669,1.037962,0.439770,0.024247,1.105664,0.000589,-0.000434,-0.000171,0.000752,-0.000137,-0.000023,-0.000383,0.000407,0.923077
134,0.523713,0.851847,0.009083,0.809505,0.317801,0.615898,-0.027894,0.421836,-0.771685,-0.009083,1.019568,0.430729,0.023998,1.105022,0.000565,-0.000480,-0.000099,0.000748,0.000039,0.000135,-0.000274,0.000308,0.923077
135,0.540266,0.841488,-0.003356,0.801728,0.319449,0.617569,-0.027712,0.424650,-0.835780,0.003356,1.000040,0.421348,0.023845,1.104244,0.000573,-0.000474,-0.000093,0.000750,-0.000113,-0.000056,-0.000304,0.000329,0.925926
136,0.557428,0.830097,-0.014580,0.793028,0.321199,0.619132,-0.027616,0.427359,-0.900371,0.014580,0.979440,0.411629,0.023777,1.103326,0.000577,-0.000482,-0.000073,0.000755,-0.000199,-0.000172,-0.000307,0.000404,0.925926
137,0.574943,0.817829,-0.024421,0.783472,0.323051,0.620582,-0.027592,0.429958,-0.964950,0.024423,0.958052,0.401581,0.023782,1.102266,0.000513,-0.000540,0.000039,0.000746,0.000151,0.000183,-0.000110,0.000261,0.925926
138,0.592755,0.804712,-0.032860,0.773024,0.325006,0.621917,-0.027631,0.432444,-1.029763,0.032866,0.935924,0.391209,0.023848,1.101060,0.000519,-0.000530,0.000043,0.000743,-0.000016,-0.000010,-0.000143,0.000144,0.925926
139,0.610698,0.790861,-0.039828,0.761714,0.327061,0.623132,-0.027718,0.434813,-1.094638,0.039838,0.913242,0.380520,0.023963,1.099709,0.000480,-0.000549,0.000104,0.000737,0.000089,0.000091,-0.000051,0.000137,0.925926
140,0.628734,0.776299,-0.045314,0.749489,0.329216,0.624226,-0.027844,0.437061,-1.159855,0.045329,0.890040,0.369517,0.024115,1.098212,0.000494,-0.000539,0.000101,0.000738,-0.000118,-0.000136,-0.000101,0.000207,0.928571
141,0.646661,0.761185,-0.049263,0.736408,0.331467,0.625197,-0.027996,0.439184,-1.225086,0.049283,0.866567,0.358208,0.024294,1.096569,0.000433,-0.000560,0.000181,0.000730,0.000080,0.000074,0.000036,0.000115,0.928571
142,0.664435,0.745557,-0.051675,0.722422,0.333812,0.626045,-0.028163,0.441178,-1.290571,0.051698,0.842868,0.346597,0.024487,1.094782,0.000443,-0.000550,0.000181,0.000730,-0.000109,-0.000126,-0.000004,0.000167,0.928571
143,0.681879,0.729575,-0.052537,0.707586,0.336246,0.626769,-0.028333,0.443041,-1.356039,0.052561,0.819177,0.334690,0.024683,1.092855,0.000383,-0.000560,0.000249,0.000723,0.000042,0.000043,0.000113,0.000128,0.928571
144,0.698942,0.713295,-0.051858,0.691858,0.338765,0.627370,-0.028497,0.444769,-1.421672,0.051881,0.795561,0.322493,0.024872,1.090790,0.000386,-0.000551,0.000257,0.000720,-0.000117,-0.000115,0.000089,0.000187,0.928571
145,0.715488,0.696858,-0.049658,0.675272,0.341363,0.627849,-0.028642,0.446359,-1.487320,0.049678,0.772208,0.310012,0.025043,1.088593,0.000339,-0.000550,0.000306,0.000715,-0.000049,-0.000026,0.000169,0.000178,0.896552
146,0.731433,0.680362,-0.045966,0.657823,0.344034,0.628209,-0.028761,0.447807,-1.553008,0.045982,0.749240,0.297251,0.025187,1.086269,0.000317,-0.000543,0.000332,0.000711,-0.000102,-0.000062,0.000194,0.000228,0.931034
147,0.746639,0.663975,-0.040842,0.639577,0.346773,0.628452,-0.028843,0.449112,-1.618509,0.040853,0.726864,0.284219,0.025293,1.083824,0.000252,-0.000532,0.000385,0.000704,0.000018,0.000089,0.000294,0.000308,0.931034
148,0.761085,0.647743,-0.034322,0.620470,0.349573,0.628582,-0.028880,0.450270,-1.684074,0.034329,0.705120,0.270920,0.025354,1.081265,0.000265,-0.000521,0.000384,0.000699,-0.000190,-0.000103,0.000252,0.000332,0.931034
149,0.774642,0.631845,-0.026500,0.600590,0.352426,0.628604,-0.028864,0.451278,-1.749436,0.026503,0.684217,0.257360,0.025362,1.078600,0.000188,-0.000502,0.000438,0.000692,-0.000030,0.000099,0.000367,0.000381,0.931034
150,0.787269,0.616363,-0.017443,0.579918,0.355324,0.628523,-0.028788,0.452136,-1.814706,0.017444,0.664234,0.243546,0.025309,1.075838,0.000177,-0.000486,0.000448,0.000685,-0.000146,0.000011,0.000363,0.000391,0.931034
151,0.798950,0.601355,-0.007204,0.558390,0.358262,0.628343,-0.028645,0.452840,-1.880121,0.007204,0.645215,0.229482,0.025189,1.072986,0.000184,-0.000475,0.000453,0.000682,-0.000328,-0.000139,0.000335,0.000489,0.933333
152,0.809571,0.587007,0.004071,0.536132,0.361232,0.628071,-0.028430,0.453388,-1.945352,-0.004071,0.627364,0.215174,0.024997,1.070054,0.000089,-0.000442,0.000504,0.000676,-0.000110,0.000132,0.000466,0.000497,0.933333
153,0.819111,0.573404,0.016284,0.513134,0.364224,0.627714,-0.028138,0.453778,-2.010501,-0.016285,0.610748,0.200627,0.024727,1.067052,0.000074,-0.000421,0.000513,0.000668,-0.000208,0.000075,0.000468,0.000518,0.933333
154,0.827539,0.560641,0.029321,-0.489415,0.367233,0.627278,-0.027765,0.447654,-2.075598,-0.029325,0.595451,0.185847,0.024376,1.063990,0.000040,-0.000395,0.000529,0.000661,0.045972,0.047747,0.017273,0.068495,0.933333
155,0.834822,0.548836,0.043024,-0.465052,0.370249,0.626772,-0.027308,0.441765,-2.140527,-0.043037,0.581580,0.170838,0.023941,1.060878,-0.000020,-0.000357,0.000549,0.000655,-0.046356,-0.047416,-0.016213,0.068265,0.933333
156,0.840966,0.538047,0.057288,-0.440020,0.373267,0.626203,-0.026766,0.436113,-2.205452,-0.057319,0.569168,0.155605,0.023420,1.057726,-0.000026,-0.000334,0.000550,0.000644,-0.000280,0.000152,0.000549,0.000634,0.935484
157,0.845981,0.528329,0.072007,-0.414292,0.376278,0.625580,-0.026137,0.430696,-2.270548,-0.072070,0.558252,0.140152,0.022812,1.054544,-0.000037,-0.000311,0.000554,0.000636,-0.000390,0.000096,0.000545,0.000677,0.935484
158,0.849854,0.519790,0.086981,-0.387995,0.379275,0.624910,-0.025421,0.425515,-2.335596,-0.087091,0.548922,0.124483,0.022116,1.051344,-0.000111,-0.000261,0.000567,0.000634,-0.000239,0.000303,0.000622,0.000732,0.935484
159,0.852620,0.512454,0.102123,-0.361052,0.382252,0.624203,-0.024618,0.420568,-2.400902,-0.102302,0.541180,0.108600,0.021334,1.048136,-0.000097,-0.000244,0.000563,0.000621,-0.000441,0.000161,0.000585,0.000750,0.935484
160,0.854295,0.506397,0.117227,-0.333594,0.385202,0.623467,-0.023732,0.415854,-2.466260,-0.117497,0.535084,0.092507,0.020466,1.044929,-0.000167,-0.000190,0.000566,0.000620,-0.000292,0.000365,0.000651,0.000801,0.935484
161,0.854919,0.501635,0.132196,-0.305551,0.388120,0.622710,-0.022763,0.411373,-2.531957,-0.132585,0.530630,0.076206,0.019516,1.041735,-0.000154,-0.000171,0.000561,0.000606,-0.000484,0.000239,0.000617,0.000820,0.937500
162,0.854533,0.498206,0.146845,-0.277019,0.390999,0.621941,-0.021716,0.407124,-2.597882,-0.147378,0.527837,0.059699,0.018485,1.038562,-0.000204,-0.000122,0.000556,0.000604,-0.000402,0.000378,0.000656,0.000857,0.937500
163,0.853189,0.496122,0.161031,-0.248008,0.393834,0.621169,-0.020595,0.403105,-2.664119,-0.161736,0.526699,0.042989,0.017380,1.035422,-0.000222,-0.000086,0.000547,0.000596,-0.000448,0.000394,0.000657,0.000887,0.937500
164,0.850949,0.495386,0.174579,-0.218611,0.396622,0.620403,-0.019405,0.399314,-2.730572,-0.175479,0.527196,0.026077,0.016204,1.032323,-0.000262,-0.000038,0.000532,0.000594,-0.000386,0.000509,0.000678,0.000931,0.937500
165,0.847872,0.495984,0.187384,-0.188769,0.399357,0.619648,-0.018152,0.395750,-2.797476,-0.188498,0.529299,0.008964,0.014963,1.029275,-0.000250,-0.000016,0.000522,0.000579,-0.000551,0.000418,0.000648,0.000948,0.937500
166,0.844010,0.497908,0.199336,-0.158415,0.402035,0.618915,-0.016842,0.392411,-2.865071,-0.200680,0.532983,-0.008349,0.013664,1.026285,-0.000235,0.000004,0.000516,0.000567,-0.000746,0.000313,0.000619,0.001018,0.939394
167,0.839486,0.501095,0.210160,-0.127935,0.404655,0.618210,-0.015482,0.389295,-2.932585,-0.211739,0.538142,-0.025860,0.012314,1.023362,-0.000366,0.000108,0.000464,0.000601,-0.000174,0.000861,0.000721,0.001137,0.939394
168,0.834355,0.505505,0.219808,-0.097161,0.407212,0.617539,-0.014082,0.386400,-3.000469,-0.221617,0.544720,-0.043566,0.010922,1.020513,-0.000310,0.000107,0.000458,0.000564,-0.000535,0.000602,0.000648,0.001034,0.939394
169,0.828690,0.511091,0.228167,-0.066072,0.409706,0.616909,-0.012649,0.383723,-3.068831,-0.230194,0.552641,-0.061467,0.009495,1.017744,-0.000305,0.000134,0.000442,0.000553,-0.000651,0.000564,0.000625,0.001064,0.939394
170,0.822594,0.517758,0.235086,-0.034819,0.412135,0.616326,-0.011191,0.381260,-3.137390,-0.237307,0.561772,-0.079560,0.008043,1.015062,-0.000348,0.000190,0.000400,0.000563,-0.000470,0.000762,0.000640,0.001101,0.939394
171,0.816124,0.525460,0.240488,-0.003274,0.414498,0.615794,-0.009719,0.379012,3.076718,-0.242869,0.572038,-0.061102,0.006576,1.012471,-0.000308,0.000198,0.000396,0.000539,-0.000770,0.000582,0.000591,0.001131,0.941176
172,0.809416,0.534039,0.244228,0.028276,0.416794,0.615319,-0.008243,0.376973,3.007725,-0.246724,0.583222,-0.043260,0.005103,1.009976,-0.000379,0.000271,0.000326,0.000569,-0.000356,0.000944,0.000621,0.001185,0.941176
173,0.802535,0.543417,0.246242,0.059917,0.419023,0.614903,-0.006772,0.375140,2.938613,-0.248801,0.595208,-0.026024,0.003636,1.007578,-0.000347,0.000282,0.000312,0.000545,-0.000578,0.000819,0.000575,0.001156,0.941176
174,0.795551,0.553500,0.246447,0.091682,0.421187,0.614550,-0.005317,0.373511,2.869300,-0.249012,0.607864,-0.009384,0.002184,1.005281,-0.000330,0.000303,0.000291,0.000534,-0.000716,0.000769,0.000543,0.001182,0.941176
175,0.788581,0.564115,0.244773,0.123387,0.423287,0.614262,-0.003888,0.372082,2.800188,-0.247286,0.620957,0.006670,0.000758,1.003085,-0.000361,0.000350,0.000228,0.000552,-0.000471,0.000980,0.000538,0.001213,0.941176
176,0.781665,0.575193,0.241150,0.155185,0.425323,0.614040,-0.002495,0.370849,2.730949,-0.243551,0.634387,0.022149,-0.000630,1.000990,-0.000315,0.000354,0.000228,0.000525,-0.000820,0.000789,0.000488,0.001238,0.914286
177,0.774924,0.586525,0.235546,0.186852,0.427298,0.613885,-0.001151,0.369810,2.662076,-0.237781,0.647890,0.037064,-0.001970,0.998995,-0.000349,0.000399,0.000153,0.000551,-0.000496,0.001039,0.000480,0.001247,0.942857
178,0.768421,0.597978,0.227928,0.218400,0.429215,0.613795,0.000136,0.368959,2.593553,-0.229949,0.661300,0.051426,-0.003251,0.997098,-0.000329,0.000414,0.000124,0.000543,-0.000592,0.001009,0.000443,0.001251,0.942857
179,0.762241,0.609371,0.218301,0.249719,0.431075,0.613771,0.001355,0.368293,2.525615,-0.220074,0.674403,0.065249,-0.004462,0.995295,-0.000330,0.000437,0.000069,0.000552,-0.000467,0.001111,0.000414,0.001274,0.942857
180,0.756424,0.620589,0.206623,0.280898,0.432883,0.613809,0.002496,0.367807,2.458062,-0.208122,0.687072,0.078542,-0.005593,0.993583,-0.000295,0.000444,0.000055,0.000536,-0.000706,0.001002,0.000371,0.001280,0.942857
181,0.751050,0.631423,0.192946,0.311776,0.434640,0.613906,0.003548,0.367498,2.391228,-0.194164,0.699082,0.091319,-0.006635,0.991956,-0.000303,0.000464,-0.000013,0.000554,-0.000470,0.001157,0.000342,0.001295,0.942857
182,0.746137,0.641783,0.177183,0.342540,0.436352,0.614059,0.004502,0.367361,2.324679,-0.178124,0.710352,0.103590,-0.007577,0.990408,-0.000251,0.000467,-0.000005,0.000530,-0.000925,0.000950,0.000296,0.001358,0.944444
183,0.741778,0.651398,0.159517,0.372856,0.438021,0.614263,0.005349,0.367391,2.259097,-0.160201,0.720615,0.115369,-0.008411,0.988934,-0.000283,0.000484,-0.000111,0.000571,-0.000334,0.001270,0.000269,0.001340,0.944444
184,0.737994,0.660135,0.139952,0.402787,0.439651,0.614512,0.006080,0.367583,2.194281,-0.140412,0.729768,0.126668,-0.009129,0.987526,-0.000248,0.000484,-0.000130,0.000559,-0.000535,0.001182,0.000225,0.001317,0.944444
185,0.734819,0.667815,0.118593,0.432243,0.441247,0.614801,0.006689,0.367933,2.130352,-0.118873,0.737665,0.137498,-0.009722,0.986175,-0.000236,0.000483,-0.000182,0.000568,-0.000419,0.001244,0.000185,0.001326,0.944444
186,0.732263,0.674301,0.095438,0.461299,0.442811,0.615120,0.007166,0.368435,2.067055,-0.095584,0.744214,0.147872,-0.010184,0.984874,-0.000201,0.000484,-0.000199,0.000561,-0.000649,0.001157,0.000143,0.001334,0.944444
187,0.730352,0.679403,0.070691,0.489780,0.444349,0.615464,0.007506,0.369083,2.004663,-0.070750,0.749273,0.157802,-0.010508,0.983614,-0.000199,0.000473,-0.000268,0.000579,-0.000342,0.001289,0.000103,0.001337,0.945946
188,0.729082,0.682989,0.044331,0.517791,0.445863,0.615823,0.007701,0.369874,1.942814,-0.044346,0.752767,0.167296,-0.010688,0.982386,-0.000159,0.000474,-0.000277,0.000572,-0.000663,0.001171,0.000061,0.001347,0.945946
189,0.728457,0.684891,0.016607,0.545155,0.447359,0.616189,0.007749,0.370802,1.881757,-0.016607,0.754583,0.176368,-0.010719,0.981181,-0.000156,0.000452,-0.000343,0.000589,-0.000323,0.001297,0.000019,0.001337,0.945946
190,0.728461,0.684975,-0.012401,0.571891,0.448838,0.616551,0.007642,0.371860,1.821293,0.012402,0.754642,0.185025,-0.010597,0.979989,-0.000128,0.000442,-0.000368,0.000589,-0.000434,0.001254,-0.000023,0.001328,0.945946
191,0.729076,0.683105,-0.042616,0.598016,0.450305,0.616899,0.007379,0.373044,1.761204,0.042629,0.752856,0.193277,-0.010318,0.978800,-0.000099,0.000433,-0.000394,0.000594,-0.000571,0.001212,-0.000064,0.001342,0.945946
192,0.730282,0.679130,-0.073964,0.623546,0.451764,0.617223,0.006956,0.374349,1.701250,0.074032,0.749121,0.201131,-0.009879,0.977603,-0.000073,0.000424,-0.000423,0.000603,-0.000693,0.001185,-0.000107,0.001376,0.947368
193,0.732029,0.672986,-0.105941,0.648171,0.453216,0.617512,0.006371,0.375768,1.641957,0.106140,0.743400,0.208597,-0.009278,0.976390,-0.000085,0.000359,-0.000495,0.000617,0.000025,0.001369,-0.000145,0.001377,0.947368
194,0.734272,0.664577,-0.138498,0.671969,0.454664,0.617755,0.005624,0.377295,1.582944,0.138944,0.735616,0.215681,-0.008514,0.975149,-0.000051,0.000346,-0.000505,0.000614,-0.000223,0.001279,-0.000184,0.001311,0.947368
195,0.736978,0.653757,-0.171655,0.695045,0.456112,0.617940,0.004715,0.378924,1.523706,0.172509,0.725630,0.222389,-0.007586,0.973869,-0.000013,0.000347,-0.000516,0.000622,-0.000604,0.001181,-0.000227,0.001346,0.947368
196,0.740115,0.640327,-0.205452,0.717501,0.457561,0.618054,0.003643,0.380651,1.463691,0.206926,0.713237,0.228722,-0.006491,0.972539,0.000025,0.000356,-0.000539,0.000646,-0.001028,0.001104,-0.000276,0.001534,0.947368
197,0.743556,0.624505,-0.238995,0.738838,0.459013,0.618087,0.002411,0.382470,1.403969,0.241330,0.698595,0.234688,-0.005233,0.971149,-0.000018,0.000214,-0.000600,0.000637,0.000379,0.001359,-0.000291,0.001441,0.948718
198,0.747252,0.606168,-0.272352,0.759211,0.460469,0.618026,0.001023,0.384372,1.343887,0.275836,0.681531,0.240290,-0.003814,0.969686,0.000023,0.000218,-0.000600,0.000639,-0.000128,0.001227,-0.000332,0.001278,0.948718
199,0.751143,0.585222,-0.305448,0.778666,0.461929,0.617861,-0.000517,0.386354,1.283028,0.310409,0.661872,0.245530,-0.002235,0.968139,0.000050,0.000203,-0.000615,0.000650,-0.000359,0.001169,-0.000372,0.001278,0.948718
200,0.755141,0.561722,-0.337980,0.797114,0.463395,0.617581,-0.002204,0.388408,1.221380,0.344769,0.639562,0.250409,-0.000500,0.966496,0.000055,0.000148,-0.000631,0.000650,-0.000136,0.001176,-0.000399,0.001249,0.948718
201,0.759178,0.535598,-0.369843,0.814584,0.464867,0.617173,-0.004033,0.390528,1.158540,0.378840,0.614407,0.254927,0.001388,0.964745,0.000078,0.000127,-0.000646,0.000663,-0.000327,0.001128,-0.000437,0.001253,0.948718
202,0.763153,0.506978,-0.400713,0.830981,0.466344,0.616627,-0.005997,0.392708,1.094540,0.412295,0.586377,0.259084,0.003422,0.962872,0.000078,0.000062,-0.000650,0.000658,-0.000044,0.001129,-0.000455,0.001218,0.950000
203,0.766990,0.475856,-0.430449,0.846316,0.467825,0.615934,-0.008088,0.394943,1.029047,0.444990,0.555299,0.262876,0.005597,0.960864,0.000095,0.000033,-0.000659,0.000667,-0.000164,0.001086,-0.000487,0.001202,0.950000
204,0.770612,0.442221,-0.458909,0.860592,0.469309,0.615082,-0.010298,0.397225,0.961715,0.476767,0.520975,0.266302,0.007907,0.958708,0.000110,0.000003,-0.000670,0.000679,-0.000277,0.001051,-0.000521,0.001205,0.950000
205,0.773916,0.406290,-0.485780,0.873728,0.470795,0.614064,-0.012617,0.399550,0.892626,0.507256,0.483431,0.269357,0.010343,0.956389,0.000103,-0.000065,-0.000657,0.000669,0.000018,0.001035,-0.000526,0.001161,0.950000
206,0.776831,0.368009,-0.510982,0.885755,0.472280,0.612869,-0.015036,0.401910,0.821314,0.536326,0.442413,0.272037,0.012896,0.953894,0.000123,-0.000082,-0.000671,0.000688,-0.000246,0.000991,-0.000567,0.001168,0.950000
207,0.779266,0.327580,-0.534262,0.896623,0.473763,0.611491,-0.017545,0.404300,0.747802,0.563634,0.397942,0.274335,0.015556,0.951208,0.000118,-0.000141,-0.000657,0.000682,-0.000061,0.000964,-0.000573,0.001123,0.926829
208,0.781142,0.285105,-0.555457,0.906319,0.475241,0.609922,-0.020131,0.406714,0.671940,0.588913,0.349962,0.276247,0.018313,0.948318,0.000123,-0.000180,-0.000652,0.000688,-0.000090,0.000928,-0.000593,0.001105,0.951220
209,0.781975,0.258350,-0.567248,0.911632,0.476709,0.608240,-0.022749,0.409129,0.624658,0.603161,0.319092,0.277914,0.021111,0.945307,-0.001468,-0.002382,0.001995,0.003436,0.026805,0.000326,0.002300,0.026906,0.951220
210,0.782011,0.256933,-0.567841,0.911897,0.478163,0.606567,-0.025344,0.411524,0.622162,0.603881,0.317443,0.279553,0.023886,0.942317,-0.002300,-0.003245,0.003683,0.005421,0.039459,-0.000568,0.004091,0.039675,0.951220
211,0.782011,0.256933,-0.567841,0.911897,0.479603,0.604910,-0.027915,0.413895,0.622162,0.603881,0.317443,0.281177,0.026635,0.939356,-0.000128,-0.000176,0.000210,0.000303,0.002177,-0.000041,0.000232,0.002190,0.951220
212,0.782011,0.256933,-0.567841,0.911897,0.481029,0.603269,-0.030462,0.416244,0.622162,0.603881,0.317443,0.282785,0.029358,0.936422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.951220
213,0.782904,0.281652,-0.554738,0.911196,0.482446,0.601759,-0.032924,0.418568,0.635625,0.588048,0.345337,0.284442,0.031981,0.933647,-0.011068,-0.000375,0.000807,0.011104,0.015687,-0.011346,0.020335,0.028078,0.952381
214,0.780844,0.350764,-0.516960,0.907727,0.483841,0.600586,-0.035185,0.420854,0.672645,0.543296,0.422198,0.286256,0.034370,0.931257,-0.020697,-0.002487,0.000906,0.020866,0.030054,-0.018447,0.036663,0.050869,0.952381
215,0.771740,0.421132,-0.476513,0.901804,0.485180,0.599751,-0.037238,0.423091,0.709948,0.496684,0.499529,0.288226,0.036521,0.929249,-0.001978,-0.003080,-0.000835,0.003755,0.003990,0.002443,0.001776,0.005004,0.952381
216,0.756098,0.488475,-0.435555,0.893661,0.486434,0.599236,-0.039082,0.425269,0.745955,0.450655,0.573591,0.290346,0.038438,0.927603,-0.000098,-0.003079,-0.000948,0.003223,0.001344,0.004171,-0.001158,0.004533,0.952381
217,0.734507,0.552331,-0.394246,0.883399,0.487577,0.599020,-0.040719,0.427380,0.781049,0.405248,0.644764,0.292607,0.040128,0.926299,0.000106,-0.003160,-0.000950,0.003302,0.001100,0.004212,-0.001026,0.004472,0.952381
218,0.707698,0.612041,-0.352943,0.871174,0.488587,0.599080,-0.042151,0.429416,0.815406,0.360715,0.713043,0.295005,0.041599,0.925321,0.000481,-0.003164,-0.000948,0.003338,0.000597,0.004322,-0.001168,0.004517,0.953488
219,0.676261,0.667457,-0.311724,0.857068,0.489444,0.599392,-0.043382,0.431369,0.849394,0.317007,0.778846,0.297536,0.042856,0.924652,0.000641,-0.003244,-0.000957,0.003443,0.000440,0.004302,-0.000935,0.004424,0.953488
