iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,a_x,a_y,a_z,a_mag,alpha_x,alpha_y,alpha_z,alpha_mag,success_rate
25,-0.040628,0.769785,0.637009,0.149638,0.399908,0.093020,0.706636,0.186806,1.981145,-0.690612,1.623525,-0.338198,-0.870752,0.461778,-0.002049,0.000020,-0.000345,0.002078,-0.001030,0.006185,0.000309,0.006277,0.800000
26,-0.017442,0.828918,0.559099,0.194413,0.383856,0.121324,0.700962,0.187099,1.974314,-0.593298,1.591835,-0.249256,-0.860081,0.505242,-0.002089,0.000131,-0.000340,0.002120,-0.000786,0.006269,0.000227,0.006322,0.666667
27,0.011461,0.879328,0.476078,0.237143,0.370063,0.149398,0.692633,0.188952,1.971619,-0.496190,1.557764,-0.167001,-0.846604,0.544224,-0.002070,0.000375,-0.000266,0.002120,-0.000047,0.006365,0.000318,0.006373,0.833333
28,0.044812,0.920312,0.388609,0.277653,0.358447,0.176931,0.681775,0.192120,1.972398,-0.399122,1.522142,-0.090594,-0.830622,0.579150,-0.002100,0.000463,-0.000278,0.002168,0.000097,0.006389,0.000184,0.006393,0.833333
29,0.081084,0.951173,0.297818,0.315575,0.348883,0.203629,0.668535,0.196377,1.976262,-0.302406,1.485756,-0.019323,-0.812408,0.610412,-0.002055,0.000686,-0.000215,0.002177,0.000754,0.006386,0.000231,0.006435,0.833333
30,0.118853,0.971646,0.204396,0.350757,0.341215,0.229229,0.653064,0.201523,1.983029,-0.205847,1.449080,0.047422,-0.792189,0.638368,-0.002083,0.000772,-0.000234,0.002233,0.000870,0.006403,0.000076,0.006462,0.833333
31,0.156431,0.981583,0.109656,0.382831,0.335255,0.253499,0.635534,0.207372,1.992625,-0.109877,1.412759,0.110171,-0.770179,0.663348,-0.001976,0.001029,-0.000148,0.002233,0.001671,0.006283,0.000167,0.006504,0.833333
32,0.192565,0.981187,0.013823,0.411812,0.330796,0.276239,0.616106,0.213760,2.005221,-0.013824,1.377003,0.169391,-0.746543,0.685650,-0.002098,0.001015,-0.000245,0.002343,0.001336,0.006426,-0.000168,0.006566,0.857143
33,0.225313,0.970922,-0.080903,0.437136,0.327599,0.297290,0.594984,0.220529,2.020849,0.080992,1.342771,0.225496,-0.721466,0.705563,-0.001757,0.001452,-0.000023,0.002280,0.002932,0.005935,0.000222,0.006624,0.857143
34,0.253599,0.951461,-0.174384,0.458870,0.325423,0.316530,0.572356,0.227539,2.039950,0.175280,1.310316,0.278862,-0.695091,0.723350,-0.001875,0.001424,-0.000131,0.002359,0.002533,0.006063,-0.000144,0.006572,0.857143
