rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
0.926075,-0.340832,0.161924,-0.009738,0.009752,0.035148
0.845387,-0.261759,0.465622,-0.001187,0.007037,0.039453
0.385474,0.170762,0.906780,0.002641,0.008658,0.048040
-0.520226,0.543675,0.658622,-0.002485,0.013903,0.054026
0.990043,0.116176,-0.079486,0.007151,0.014896,0.052730
-0.933241,0.022038,0.358575,-0.001891,0.014965,0.055671
-0.369425,-0.710726,0.598660,-0.005391,0.008054,0.060842
0.685000,0.391184,-0.614614,0.001122,0.011668,0.054470
-0.888667,-0.246390,-0.386735,-0.007194,0.009256,0.050347
-0.417376,-0.900548,0.121694,-0.010992,0.000832,0.051007
0.732437,-0.382499,-0.563233,-0.004171,-0.002685,0.045372
0.558750,-0.806101,-0.194937,0.000946,-0.009988,0.043188
0.230303,-0.726666,-0.647238,0.003012,-0.016445,0.036967
-0.764269,-0.144830,0.628424,-0.003838,-0.017591,0.042248
0.768460,0.024783,0.639418,0.002996,-0.017216,0.047533
-0.480160,-0.497234,0.722637,-0.001242,-0.021427,0.053455
0.038348,0.975110,0.218381,-0.000898,-0.012761,0.054889
-0.784808,-0.220639,0.579133,-0.007656,-0.014554,0.059408
0.332506,-0.710810,-0.619830,-0.004748,-0.020504,0.053603
-0.845447,0.402726,-0.350759,-0.011873,-0.016918,0.050176
0.091075,0.808888,0.580866,-0.011008,-0.009978,0.054636
-0.002681,0.939770,0.341797,-0.010938,-0.002064,0.057029
0.888805,-0.318193,0.329815,-0.003503,-0.004676,0.059283
-0.196856,0.954048,-0.225922,-0.005087,0.003182,0.056945
0.266149,0.963148,0.038854,-0.002882,0.010987,0.056798
-0.419656,0.396122,-0.816687,-0.006243,0.014093,0.049754
0.333301,-0.555827,0.761556,-0.003527,0.009533,0.055449
0.712981,0.306724,-0.630538,0.002160,0.011892,0.050004
-0.522727,0.045070,0.851308,-0.001973,0.012153,0.056314
0.271382,0.951928,0.142075,0.000162,0.019495,0.056984
-0.108775,0.839069,-0.533040,-0.000682,0.025848,0.052410
-0.266553,0.575918,0.772832,-0.002727,0.030080,0.057952
0.258035,-0.462677,0.848144,-0.000737,0.026318,0.063984
0.189646,-0.177655,-0.965647,0.000705,0.024773,0.056183
0.476971,-0.117470,0.871034,0.004286,0.023704,0.062310
-0.037810,-0.722912,-0.689905,0.003972,0.018132,0.056697
-0.816582,-0.418836,0.397202,-0.002106,0.014895,0.059219
-0.400011,0.454833,0.795687,-0.005032,0.018130,0.064634
0.266567,0.775445,0.572387,-0.003049,0.023658,0.068340
0.760359,0.645109,-0.075422,0.002483,0.028161,0.067298
-0.306146,0.759160,0.574413,0.000262,0.033420,0.070947
-0.167124,-0.752453,0.637090,-0.000933,0.027807,0.074991
-0.220131,0.429977,-0.875592,-0.002488,0.030659,0.068249
